baseline_component_ms,baseline_wall_ms,cascade_correct,cascade_predicted,cascade_status,cascade_wall_ms,caseId,chosen_status,cohort,expected,fallback_component_ms,fallback_probability,gemini_baseline_accept,gemini_correct,gemini_predicted,gemini_probability,gemini_status,jev_accept,jev_component_ms,jev_correct,jev_predicted,jev_status,local_correct,local_predicted,local_status,native_confidence,route,safety_accept,safety_human_defer
4133.849340999965,4241.0188029999845,,terminate_account,ok,3375.3798199999146,clinc-test-1003,ok,oos,,2921.068063999992,0.02,False,,terminate_account,0.01,ok,False,363.5823719999753,,terminate_account,ok,,,,0.09,gemini,False,True
2436.3693719999865,2444.823522000108,,exchange_via_app,ok,2248.799125000136,clinc-test-1006,ok,oos,,1750.0341839999892,0.02,False,,card_not_working,0.02,ok,False,480.50705200014636,,verify_my_identity,ok,,,,0.11,gemini,False,True
1915.8431619999465,1927.3966709999368,,exchange_via_app,ok,1935.0231899998616,clinc-test-1009,ok,oos,,1429.1077890000306,0.01,False,,card_not_working,0.01,ok,False,482.52344299992546,,verify_my_identity,ok,,,,0.16,gemini,False,True
1569.4974199999124,1580.2107090000063,,card_arrival,ok,2809.117554999888,clinc-test-1011,ok,oos,,2439.4970029999968,0.23,False,,card_not_working,0.05,ok,False,349.59556299983524,,card_arrival,ok,,,,0.08,gemini,False,True
4505.04610399995,4515.071241999976,,cancel_transfer,ok,1644.9858029996976,clinc-test-1013,ok,oos,,1241.381813999731,0.05,False,,card_delivery_estimate,0.15,ok,False,381.9495009998791,,cancel_transfer,ok,,,,0.25,gemini,False,True
1835.4273980001453,1852.2275870000012,,card_not_working,ok,1841.2845749999397,clinc-test-1018,ok,oos,,1456.6692540000658,0.01,False,,apple_pay_or_google_pay,0.05,ok,False,361.8111420001369,,verify_my_identity,ok,,,,0.15,gemini,False,True
1528.7571509999689,1538.2855299999937,,supported_cards_and_currencies,ok,2791.50615299982,clinc-test-1652,ok,oos,,2415.689781999914,0.01,False,,supported_cards_and_currencies,0.01,ok,False,357.04377300012857,,verify_my_identity,ok,,,,0.09,gemini,False,True
1545.4816519999877,1554.912881999975,,supported_cards_and_currencies,ok,2581.017932999879,clinc-test-1655,ok,oos,,2267.625247000018,0.01,False,,supported_cards_and_currencies,0.01,ok,False,295.7822979998309,,verify_my_identity,ok,,,,0.11,gemini,False,True
1831.4139380000997,1843.0668170000426,,card_acceptance,ok,2352.2032059999183,clinc-test-1657,ok,oos,,2006.3240639998112,0.01,False,,card_acceptance,0.01,ok,False,325.03532400005497,,card_acceptance,ok,,,,0.06,gemini,False,True
2125.8164360001683,2138.7088349997066,,card_acceptance,ok,2920.873265999835,clinc-test-1658,ok,oos,,2453.6597910001874,0.01,False,,supported_cards_and_currencies,0.01,ok,False,442.26703600026667,,,error,,,,,gemini,False,True
1399.622931000078,1411.0954599999823,,supported_cards_and_currencies,ok,1990.1363049999345,clinc-test-1662,ok,oos,,1600.0139950001612,0.01,False,,supported_cards_and_currencies,0.01,ok,False,364.42805200000294,,card_arrival,ok,,,,0.07,gemini,False,True
2074.8448910000734,2085.7823199999984,,supported_cards_and_currencies,ok,2331.2424210000318,clinc-test-1668,ok,oos,,2023.7011239998974,0.01,False,,supported_cards_and_currencies,0.01,ok,False,286.10344800003804,,card_arrival,ok,,,,0.09,gemini,False,True
1567.9153289999813,1578.3852579998784,,supported_cards_and_currencies,ok,3366.168051000219,clinc-test-1669,ok,oos,,3005.084017999936,0.01,False,,supported_cards_and_currencies,0.01,ok,False,340.24520399980247,,verify_my_identity,ok,,,,0.08,gemini,False,True
2412.9330720000435,2422.6491320000496,,supported_cards_and_currencies,ok,3967.355992999859,clinc-test-1670,ok,oos,,3639.536248000106,0.01,False,,supported_cards_and_currencies,0.01,ok,False,306.3476260001771,,verify_my_identity,ok,,,,0.11,gemini,False,True
2116.6291749998927,2126.2478350000456,,extra_charge_on_statement,ok,2381.2721840001177,clinc-test-1671,ok,oos,,2037.789650999941,0.01,False,,extra_charge_on_statement,0.01,ok,False,322.0185449998826,,verify_my_identity,ok,,,,0.07,gemini,False,True
1742.5476949997246,1752.7817049999721,,supported_cards_and_currencies,ok,2463.049351000227,clinc-test-1676,ok,oos,,2068.699490000028,0.01,False,,extra_charge_on_statement,0.01,ok,False,376.20060099987313,,verify_my_identity,ok,,,,0.08,gemini,False,True
3232.138780000154,3243.1660300004296,,card_delivery_estimate,ok,2296.969312999863,clinc-test-2041,ok,oos,,1866.7999060000293,0.05,False,,card_delivery_estimate,0.05,ok,False,411.8232279997319,,transfer_timing,ok,,,,0.45,gemini,False,True
2816.690713999793,2828.663092999952,,transfer_timing,ok,3075.5736129998695,clinc-test-2044,ok,oos,,2735.4247500000056,0.01,False,,transfer_timing,0.01,ok,False,322.75389400008135,,transfer_timing,ok,,,,0.18,gemini,False,True
1634.9817929998972,1647.3633429999463,,transfer_timing,ok,6056.3851629998535,clinc-test-2045,ok,oos,,5661.56727299979,0.01,False,,transfer_timing,0.01,ok,False,366.3011219999753,,transfer_timing,ok,,,,0.36,gemini,False,True
3429.592476000078,3441.230446000118,,transfer_timing,ok,3447.553704000078,clinc-test-2048,ok,oos,,3097.3574210000224,0.68,False,,transfer_timing,0.2,ok,False,326.62609399994835,,transfer_timing,ok,,,,0.81,gemini,False,True
1700.2692680000328,1710.785416000057,,card_not_working,ok,2836.5483109999914,clinc-test-2050,ok,oos,,2393.5358940002043,0.01,False,,transfer_timing,0.01,ok,False,420.88412700011395,,transfer_timing,ok,,,,0.1,gemini,False,True
2722.1354600000195,2733.3360500000417,,card_not_working,ok,1898.8239930002019,clinc-test-2060,ok,oos,,1547.4759209998883,0.01,False,,transfer_timing,0.01,ok,False,333.9746739999391,,verify_my_identity,ok,,,,0.07,gemini,False,True
1966.284447999904,1977.5427859998308,,transfer_timing,ok,2120.0987850001547,clinc-test-2061,ok,oos,,1598.7834250000305,0.01,False,,transfer_timing,0.01,ok,False,497.9314510000404,,verify_my_identity,ok,,,,0.09,gemini,False,True
1687.5288299999665,1699.629098000005,,transfer_timing,ok,1889.8139129998162,clinc-test-2063,ok,oos,,1566.2932370000053,0.01,False,,transfer_timing,0.01,ok,False,300.8263960001059,,transfer_timing,ok,,,,0.2,gemini,False,True
1603.5872949999757,1622.8641940001398,,card_not_working,ok,2205.153539000079,clinc-test-2064,ok,oos,,1753.7621230001096,0.01,False,,card_not_working,0.01,ok,False,426.71192699996755,,verify_my_identity,ok,,,,0.09,gemini,False,True
